tbl,id,country,state_province,county,latitude,longitude
vfoi,61823825,Brazil,Mato Grosso,NA,9999,9999
vfoi,61823916,Brazil,Para,NA,9999,9999
vfoi,61824697,Brazil,Mato Grosso,NA,9999,9999
vfoi,61825282,Brazil,Mato Grosso,NA,9999,9999
vfoi,61833352,Brazil,Mato Grosso,NA,9999,9999
vfoi,61835172,Brazil,Mato Grosso,NA,9999,9999
vfoi,61835423,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61842623,Brazil,Espirito Santo,Nova Venecia,9999,9999
vfoi,61850277,Brazil,Mato Grosso,NA,9999,9999
vfoi,61855689,Brazil,Mato Grosso,NA,9999,9999
vfoi,61860573,Brazil,Mato Grosso,NA,9999,9999
vfoi,61861191,Brazil,Mato Grosso,NA,9999,9999
vfoi,61861253,Brazil,Mato Grosso,NA,9999,9999
vfoi,61868625,Brazil,Goias,NA,9999,9999
vfoi,61868865,Brazil,Mato Grosso,NA,9999,9999
vfoi,61875047,Brazil,Mato Grosso,NA,9999,9999
vfoi,61875399,Brazil,Mato Grosso,NA,9999,9999
vfoi,61876095,Brazil,Mato Grosso,NA,9999,9999
vfoi,61876593,Brazil,Rondonia,Porto Velho,-850.268611,-6356.40139
vfoi,61878562,Brazil,Mato Grosso,NA,9999,9999
vfoi,61880464,Brazil,Mato Grosso,NA,9999,9999
vfoi,61881312,Brazil,Mato Grosso,NA,9999,9999
vfoi,61882727,Brazil,Mato Grosso,NA,9999,9999
vfoi,61885202,Brazil,Mato Grosso,NA,9999,9999
vfoi,61886010,Brazil,Mato Grosso,NA,9999,9999
vfoi,61886456,Brazil,Minas Gerais,Santana Do Riacho,9999,9999
vfoi,61890100,Brazil,Mato Grosso,NA,9999,9999
vfoi,61892833,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,61894043,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61897509,Brazil,Mato Grosso,NA,9999,9999
vfoi,61899122,Brazil,Mato Grosso,NA,9999,9999
vfoi,61900108,Brazil,Mato Grosso,NA,9999,9999
vfoi,61903033,Brazil,Mato Grosso,NA,9999,9999
vfoi,61904573,Brazil,Mato Grosso,NA,9999,9999
vfoi,61906422,Brazil,Espirito Santo,Conceicao Do Castelo,9999,9999
vfoi,61912233,Brazil,Mato Grosso,NA,9999,9999
vfoi,61916430,Brazil,Mato Grosso,NA,9999,9999
vfoi,61919777,Brazil,Minas Gerais,Gouvea,9999,9999
vfoi,61920027,Brazil,Espirito Santo,Cariacica,9999,9999
vfoi,61926953,Brazil,Mato Grosso,NA,9999,9999
vfoi,61929061,Brazil,Mato Grosso,NA,9999,9999
vfoi,61930699,Brazil,Mato Grosso,NA,9999,9999
vfoi,61935345,Brazil,Espirito Santo,Castelo,9999,9999
vfoi,61936450,Brazil,Mato Grosso,NA,9999,9999
vfoi,61941775,Brazil,Mato Grosso,NA,9999,9999
vfoi,61942038,Brazil,Espirito Santo,Santa Teresa,9999,9999
